zpid,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,living_area,home_type,zestimate,country,tax_assessed_value,new_home,construction_type,home_detail_link
54569777,West Jordan,UT,84084,40.619877,-112.00507,349000.0,1.0,2.0,870.0,CONDO,346800.0,USA,254400.0,,,https://www.zillow.com/homedetails/7234-S-Brittany-Town-Dr-West-Jordan-UT-84084/54569777_zpid/
11913744,Provo,UT,84604,40.2699,-111.65744,499900.0,2.0,2.0,1923.0,CONDO,,USA,276900.0,,,https://www.zillow.com/homedetails/2729-N-Country-Club-Dr-Provo-UT-84604/11913744_zpid/
2053271740,Kaysville,UT,84037,41.058723,-111.906784,762000.0,3.0,4.0,3277.0,SINGLE_FAMILY,706400.0,USA,,,,https://www.zillow.com/homedetails/1462-N-Shadow-Wood-Dr-Kaysville-UT-84037/2053271740_zpid/
2053060695,West Jordan,UT,84081,40.630383,-112.05568,595990.0,3.0,3.0,2433.0,SINGLE_FAMILY,591900.0,USA,,,,https://www.zillow.com/homedetails/6645-S-Quarter-Creek-Dr-130-West-Jordan-UT-84081/2053060695_zpid/
12920340,Sandy,UT,84092,40.555412,-111.83345,1210000.0,4.0,6.0,4401.0,SINGLE_FAMILY,,USA,905700.0,,,https://www.zillow.com/homedetails/2026-E-10765-S-Sandy-UT-84092/12920340_zpid/
82703985,Sundance,UT,84604,40.39393,-111.58444,1185000.0,1.0,2.0,763.0,SINGLE_FAMILY,,USA,296200.0,,,https://www.zillow.com/homedetails/3162-E-Big-Pine-Cyn-Sundance-UT-84604/82703985_zpid/
12883510,Sandy,UT,84094,40.59579,-111.86863,750000.0,1.0,3.0,1806.0,SINGLE_FAMILY,721700.0,USA,453400.0,,,https://www.zillow.com/homedetails/825-E-8600-S-Sandy-UT-84094/12883510_zpid/
12882774,Sandy,UT,84094,40.60494,-111.86464,694900.0,3.0,4.0,2803.0,SINGLE_FAMILY,,USA,581300.0,,,https://www.zillow.com/homedetails/8057-Nighthawk-Dr-Sandy-UT-84094/12882774_zpid/
11954008,Sundance,UT,84604,40.39476,-111.58737,3149000.0,4.0,4.0,4043.0,SINGLE_FAMILY,2924400.0,USA,1304900.0,,,https://www.zillow.com/homedetails/8984-N-Timphaven-Rd-Sundance-UT-84604/11954008_zpid/
331672015,Sandy,UT,84070,40.561546,-111.88318,635000.0,4.0,3.0,2127.0,TOWNHOUSE,625500.0,USA,554900.0,,,https://www.zillow.com/homedetails/10464-S-Sage-Canal-Way-Sandy-UT-84070/331672015_zpid/
2057893255,Spanish Fork,UT,84660,40.212456,-111.663574,639900.0,3.0,4.0,3311.0,SINGLE_FAMILY,629900.0,USA,,True,BUILDER_SPEC,https://www.zillow.com/homedetails/1601-S-300-W-38-Spanish-Fork-UT-84660/2057893255_zpid/
2058009836,Provo,UT,84604,40.40099,-111.59591,4600000.0,4.0,4.0,4239.0,SINGLE_FAMILY,,USA,,True,BUILDER_SPEC,https://www.zillow.com/homedetails/9335-N-Canopy-Ln-Provo-UT-84604/2058009836_zpid/
2069841750,Provo,UT,84604,40.3916,-111.58111,1100000.0,1.0,1.0,1157.0,CONDO,1050800.0,USA,,,,https://www.zillow.com/homedetails/8814-N-Stewart-Rd-10-Provo-UT-84604/2069841750_zpid/
344048440,Layton,UT,84041,41.080887,-111.93064,448400.0,3.0,3.0,1655.0,TOWNHOUSE,449300.0,USA,,True,NEW_CONSTRUCTION_TYPE_OTHER,https://www.zillow.com/homedetails/1386-N-1875-W-124-Layton-UT-84041/344048440_zpid/
347350491,West Jordan,UT,84081,40.60939,-112.057785,630370.0,3.0,3.0,2776.0,SINGLE_FAMILY,633900.0,USA,,True,BUILDER_SPEC,https://www.zillow.com/homedetails/7096-W-7800-S-West-Jordan-UT-84081/347350491_zpid/
2052859887,Layton,UT,84041,41.076893,-112.005646,473670.0,3.0,4.0,2157.0,TOWNHOUSE,472700.0,USA,,True,NEW_CONSTRUCTION_TYPE_OTHER,https://www.zillow.com/homedetails/1845-W-1150-N-103-Layton-UT-84041/2052859887_zpid/
345087695,Layton,UT,84041,41.045982,-112.000084,699900.0,2.0,3.0,1946.0,SINGLE_FAMILY,700500.0,USA,,True,BUILDER_SPEC,https://www.zillow.com/homedetails/920-S-1700-W-Layton-UT-84041/345087695_zpid/
2067465073,Layton,UT,84041,41.06044,-112.01829,1250000.0,1.0,2.0,1140.0,SINGLE_FAMILY,,USA,,,,https://www.zillow.com/homedetails/2794-W-Gentile-St-N-Layton-UT-84041/2067465073_zpid/
309712938,Provo,UT,84604,40.25684,-111.69628,2550000.0,6.0,7.0,6777.0,SINGLE_FAMILY,2424800.0,USA,204200.0,True,BUILDER_SPEC,https://www.zillow.com/homedetails/1682-N-2250-W-Provo-UT-84604/309712938_zpid/
83815655,Draper,UT,84020,40.4829,-111.884895,450000.0,3.0,2.0,1495.0,TOWNHOUSE,453300.0,USA,421000.0,,,https://www.zillow.com/homedetails/14775-S-Granite-Ridge-Ln-Draper-UT-84020/83815655_zpid/
12898253,South Jordan,UT,84095,40.574615,-111.92698,679000.0,3.0,5.0,3162.0,SINGLE_FAMILY,687000.0,USA,543900.0,,,https://www.zillow.com/homedetails/1232-W-Lampton-Rd-South-Jordan-UT-84095/12898253_zpid/
12899363,South Jordan,UT,84095,40.55344,-111.93174,800000.0,3.0,6.0,3516.0,SINGLE_FAMILY,806000.0,USA,620100.0,,,https://www.zillow.com/homedetails/10945-S-Surrey-Meadow-Cv-South-Jordan-UT-84095/12899363_zpid/
12899451,South Jordan,UT,84095,40.562607,-111.96268,595000.0,3.0,5.0,2242.0,SINGLE_FAMILY,601700.0,USA,475100.0,,,https://www.zillow.com/homedetails/10384-S-2950-W-South-Jordan-UT-84095/12899451_zpid/
345175537,South Jordan,UT,84095,40.543816,-111.967545,1150000.0,4.0,5.0,5224.0,SINGLE_FAMILY,,USA,,,,https://www.zillow.com/homedetails/11417-S-Jordan-Farms-Rd-W-South-Jordan-UT-84095/345175537_zpid/
2095561609,South Jordan,UT,84009,40.561504,-112.02008,699000.0,3.0,4.0,3288.0,SINGLE_FAMILY,601700.0,USA,,,,https://www.zillow.com/homedetails/5416-W-Copper-Needle-Way-South-Jordan-UT-84009/2095561609_zpid/
2061290758,Salt Lake City,UT,84109,40.691982,-111.80369,750000.0,3.0,4.0,2444.0,SINGLE_FAMILY,,USA,,,,https://www.zillow.com/homedetails/3646-S-Laurelcrest-Dr-E-Salt-Lake-City-UT-84109/2061290758_zpid/
52838224,South Jordan,UT,84009,40.569912,-111.996864,800000.0,3.0,6.0,3658.0,SINGLE_FAMILY,813700.0,USA,706400.0,,,https://www.zillow.com/homedetails/9983-S-Tee-Box-Dr-South-Jordan-UT-84009/52838224_zpid/
55442400,Salt Lake City,UT,84124,40.674953,-111.84397,539900.0,3.0,3.0,2410.0,TOWNHOUSE,547300.0,USA,492100.0,,,https://www.zillow.com/homedetails/4465-S-Maybeck-Pl-APT-A-Salt-Lake-City-UT-84124/55442400_zpid/
12895054,South Jordan,UT,84009,40.57236,-111.99534,649900.0,4.0,5.0,4160.0,SINGLE_FAMILY,,USA,589200.0,,,https://www.zillow.com/homedetails/4383-W-Bunker-Cir-South-Jordan-UT-84009/12895054_zpid/
2071486056,South Jordan,UT,84009,40.54467,-112.00522,450000.0,3.0,3.0,1692.0,TOWNHOUSE,427500.0,USA,,,,https://www.zillow.com/homedetails/11363-S-Oakmond-Rd-W-South-Jordan-UT-84009/2071486056_zpid/
69718627,Draper,UT,84020,40.51118,-111.88143,949999.0,3.0,5.0,3462.0,SINGLE_FAMILY,966400.0,USA,825000.0,,,https://www.zillow.com/homedetails/13228-S-Cherry-Crest-Dr-Draper-UT-84020/69718627_zpid/
12936417,Draper,UT,84020,40.4998,-111.85216,900000.0,4.0,5.0,4132.0,SINGLE_FAMILY,915600.0,USA,784500.0,,,https://www.zillow.com/homedetails/1348-E-Martha-Dunyon-Cir-Draper-UT-84020/12936417_zpid/
