zpid,streetName,city,state,zipcode,latitude,longitude,price,bathrooms,bedrooms,livingArea,homeType,homeStatus,daysOnZillow,zestimate,rentZestimate,isPreforeclosureAuction,isZillowOwned,currency,country,taxAssessedValue,lotAreaValue,lotAreaUnit,is_newHome,newConstructionType,datePriceChanged,priceReduction,priceChange,is_openHouse,openHouse,open_house_showing,imgSrc,homeDetailUrl,price_to_rent_ratio
2067170684,838 S South Temp 205,Salt Lake City,UT,84102,40.76895,-111.86707,460000,2,2,1221,CONDO,FOR_SALE,-1,464500,1900,FALSE,FALSE,USD,USA,,435.6,sqft,,,1.70E+12,,-5000,,,,https://photos.zillowstatic.com/fp/907f1b6ff5318fc4162f5b92dd81c068-p_e.jpg,https://www.zillow.com/homedetails/838-S-South-Temp-205-Salt-Lake-City-UT-84102/2067170684_zpid/,244.4736842
345432452,354 S Main St 131,Vineyard,UT,84059,40.303654,-111.69569,904791,3,4,4529,SINGLE_FAMILY,FOR_SALE,-1,906900,3775,FALSE,FALSE,USD,USA,,10454.4,sqft,TRUE,BUILDER_SPEC,,,,,,,https://photos.zillowstatic.com/fp/78a42c2384dc7cf325629aff7bfb6e1e-p_e.jpg,https://www.zillow.com/homedetails/354-S-Main-St-131-Vineyard-UT-84059/345432452_zpid/,240.2384106
342943360,424 Center St APT 104,Salt Lake City,UT,84103,40.778736,-111.89388,284900,1,1,670,CONDO,FOR_SALE,-1,277000,1474,FALSE,FALSE,USD,USA,,435.6,sqft,,,1.71E+12,"$5,000 (Apr 10)",-5000,,,,https://photos.zillowstatic.com/fp/9dc43cebc210520e7533bb8580a4951b-p_e.jpg,https://www.zillow.com/homedetails/424-Center-St-APT-104-Salt-Lake-City-UT-84103/342943360_zpid/,187.9240163
2083823466,555 N Starcrest Dr APT B6,Salt Lake City,UT,84116,40.78142,-111.94427,210000,1,1,606,CONDO,FOR_SALE,-1,,1300,FALSE,FALSE,USD,USA,,4356,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/6a270edb55ad965cadd2f5d3312a11b5-p_e.jpg,https://www.zillow.com/homedetails/555-N-Starcrest-Dr-APT-B6-Slc-UT-84116/2083823466_zpid/,
305058426,1810 S 800 E,Salt Lake City,UT,84105,40.730915,-111.86859,1050000,5,10,4152,MULTI_FAMILY,FOR_SALE,-1,,3980,FALSE,FALSE,USD,USA,758900,7840.8,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/1dd8d6b22a6b9ca3b4742ee1382078a0-p_e.jpg,https://www.zillow.com/homedetails/1810-S-800-E-Salt-Lake-City-UT-84105/305058426_zpid/,
2053005317,44 W Broadway S 507,Salt Lake City,UT,84101,40.76341,-111.89262,680000,2,2,1952,CONDO,FOR_SALE,-1,656800,2614,FALSE,FALSE,USD,USA,,435.6,sqft,,,1.71E+12,"$62,000 (Apr 18)",-62000,,,,https://photos.zillowstatic.com/fp/a387126ddccdf8ae2554b41fc544534d-p_e.jpg,https://www.zillow.com/homedetails/44-W-Broadway-S-507-Salt-Lake-City-UT-84101/2053005317_zpid/,251.2624331
2054535295,6628 W Golden Acre Cv 406,West Valley City,UT,84128,40.692787,-112.049355,780000,3,3,4097,SINGLE_FAMILY,FOR_SALE,-1,680700,3966,FALSE,FALSE,USD,USA,,0.3,acres,TRUE,BUILDER_SPEC,,,,,,,https://photos.zillowstatic.com/fp/2c761372925372f8c9f662ae6dd1289a-p_e.jpg,https://www.zillow.com/homedetails/6628-W-Golden-Acre-Cv-406-West-Valley-City-UT-84128/2054535295_zpid/,171.633888
2072724437,764 E Garfield Ave S,Salt Lake City,UT,84105,40.729084,-111.86897,950000,4,7,3300,MULTI_FAMILY,FOR_SALE,-1,912700,3446,FALSE,FALSE,USD,USA,,0.25,acres,,,,,,,,,https://photos.zillowstatic.com/fp/180e0d6486a83c5ef0b44b4ff4511645-p_e.jpg,https://www.zillow.com/homedetails/764-E-Garfield-Ave-S-Salt-Lake-City-UT-84105/2072724437_zpid/,264.8578062
82723340,543 W 1770 S,Orem,UT,84058,40.26457,-111.7085,520000,3,4,2035,TOWNHOUSE,FOR_SALE,-1,516900,2197,FALSE,FALSE,USD,USA,272900,1306.8,sqft,,,1.71E+12,"$10,000 (Apr 10)",-10000,,,,https://photos.zillowstatic.com/fp/08eada108a7a61c22630b375630da1c7-p_e.jpg,https://www.zillow.com/homedetails/543-W-1770-S-Orem-UT-84058/82723340_zpid/,235.2753755
12712038,1065 N Voyager Hill Ct,Salt Lake City,UT,84116,40.792416,-111.94186,555000,2,3,1812,SINGLE_FAMILY,FOR_SALE,-1,548200,2081,FALSE,FALSE,USD,USA,349300,0.54,acres,,,1.71E+12,"$15,000 (Apr 9)",-15000,,,,https://photos.zillowstatic.com/fp/de7e8c18610e91f7ade8ac57dde6612c-p_e.jpg,https://www.zillow.com/homedetails/1065-N-Voyager-Hill-Ct-Salt-Lake-City-UT-84116/12712038_zpid/,263.4310428
2054117239,726 S 300 E 6,Salt Lake City,UT,84111,40.753284,-111.882866,859000,4,3,2060,TOWNHOUSE,FOR_SALE,-1,849300,3047,FALSE,FALSE,USD,USA,,871.2,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/c93245d045a760375f3501d1b42ed67d-p_e.jpg,https://www.zillow.com/homedetails/726-S-300-E-6-Salt-Lake-City-UT-84111/2054117239_zpid/,278.7331802
12770009,1009 E 1700 S,Salt Lake City,UT,84105,40.733715,-111.86201,775000,3,5,3124,MULTI_FAMILY,FOR_SALE,-1,758700,3558,FALSE,FALSE,USD,USA,555900,5662.8,sqft,,,,,,,,,https://photos.zillowstatic.com/fp/495f7faee31496967bd68a545a49b4e6-p_e.jpg,https://www.zillow.com/homedetails/1009-E-1700-S-Salt-Lake-City-UT-84105/12770009_zpid/,213.237774
2066635731,734 E 1450 N 9,Orem,UT,84097,40.321568,-111.67767,1290000,5,5,5330,SINGLE_FAMILY,FOR_SALE,-1,1072300,4515,FALSE,FALSE,USD,USA,,3049.2,sqft,TRUE,BUILDER_SPEC,1.70E+12,,-63015,,,,https://photos.zillowstatic.com/fp/889f843932d856b556ba228008c35271-p_e.jpg,https://www.zillow.com/homedetails/734-E-1450-N-9-Orem-UT-84097/2066635731_zpid/,237.4972315
